osmnx_node_id,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,closeness_networkwide,betweenness_networkwide,EMB000,EMB001,EMB000pooled,EMB001pooled
605007.0,29.0,44.0,3.034482758620689,3866.911999999999,87.88436363636362,2.7241379310344827,25.0,2908.382,34.0,85.54064705882354,1.0453674542788214,0.01612086509486551,0.04987563332237854,-0.96988183,0.6218721,-0.19227557,0.33571517
605009.0,29.0,44.0,3.034482758620689,3866.911999999999,87.88436363636362,2.7241379310344827,25.0,2908.382,34.0,85.54064705882354,1.0453674542788214,0.01586306354959347,0.04987555973635049,-0.77071714,0.16642015,-0.19227557,0.33571517
605012.0,30.0,43.0,2.8666666666666667,3078.471,71.5923488372093,2.7333333333333334,26.0,2577.667,34.0,75.81373529411765,1.0533927332761397,0.016692548885956317,0.070088559957163,-0.7690418,-0.31845257,-0.33448127,0.3247955
605025.0,15.0,20.0,2.6666666666666665,709.8810000000001,35.49405,3.0,15.0,693.6940000000002,19.0,36.5102105263158,1.0317886905565603,0.016179790558591863,0.06625026046286346,-0.087657005,-0.47041544,-0.8302599,-0.56001896
605059.0,34.0,54.0,3.176470588235294,3187.633,59.03024074074074,2.9705882352941178,33.0,2388.847,42.0,56.87730952380953,1.0175135437978418,0.01619472979125923,0.06427404225394649,-0.76835597,0.3213152,-0.5243962,-0.048363715
605060.0,37.0,60.0,3.2432432432432434,3649.606999999999,60.82678333333332,2.864864864864865,34.0,2619.834,45.0,58.218533333333326,1.0203990858081875,0.016462976337974417,0.06777018001140422,-0.5454872,-0.15720128,-0.5011686,0.027136233
605061.0,36.0,58.0,3.2222222222222223,3507.9829999999997,60.482465517241366,2.9166666666666665,34.0,2549.022,44.0,57.93231818181818,1.0209777145355987,0.016194228027394533,0.06777010642537616,-0.13097,0.39635468,-0.53796035,0.006357141
605064.0,32.0,50.0,3.125,3034.5489999999995,60.69097999999999,3.03125,32.0,2312.305,40.0,57.807625,1.0174179139820838,0.016232995371246103,0.06942142950211655,-0.7533787,0.19021498,-0.5523453,-0.07052487
605066.0,33.0,52.0,3.1515151515151514,3113.309,59.87132692307693,3.0303030303030303,33.0,2351.6850000000004,41.0,57.358170731707325,1.017121465744122,0.01638215102794562,0.05529828941648779,-0.7877815,0.14060292,-0.5673662,-0.07936296
605074.0,31.0,48.0,3.096774193548387,2907.699,60.5770625,3.032258064516129,31.0,2248.880000000001,39.0,57.66358974358976,1.015272677770197,0.01625292378506868,0.02072688630047082,0.3501678,-0.50228184,-0.5213318,-0.20966098
605078.0,28.0,42.0,3.0,3345.183,79.64721428571428,3.0357142857142856,28.0,2467.6220000000008,36.0,68.54505555555558,1.0153902018846936,0.016623193735178607,0.031132863116906818,0.5658723,-0.99660087,-0.5632005,-0.18539634
605093.0,26.0,56.0,4.307692307692308,5893.061999999999,105.23324999999998,2.769230769230769,22.0,2946.5309999999995,28.0,105.23324999999998,1.0534472546613514,0.015733450030793173,0.02708890723234983,0.9987151,-0.90848833,0.8836443,0.12909555
605095.0,30.0,66.0,4.4,6985.665999999999,105.84342424242423,2.7666666666666666,25.0,3492.833,33.0,105.84342424242423,1.0155719803586034,0.015496226618942972,0.02702924068714713,1.0,-0.9996153,0.4311726,-0.122017965
605098.0,29.0,56.0,3.8620689655172415,5187.444,92.63292857142858,2.3793103448275863,20.0,2593.722,28.0,92.63292857142858,1.0312453971871938,0.014000514992740298,0.020073125039892118,0.99885356,0.9990815,0.3299549,0.6227203
605110.0,25.0,48.0,3.84,5239.256000000001,109.1511666666667,2.52,19.0,2619.6280000000006,24.0,109.1511666666667,1.029110356121718,0.01362322414115606,0.017751334909040385,0.999983,0.9920055,0.36665303,0.70844567
