0,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_id
,135.0,234.0,3.466666666666667,13601.399999999996,58.12564102564101,2.9407407407407407,"{0: 0, 1: 14, 2: 2, 3: 98, 4: 20, 5: 1}","{0: 0.0, 1: 0.1037037037037037, 2: 0.014814814814814815, 3: 0.725925925925926, 4: 0.14814814814814814, 5: 0.007407407407407408}",121.0,10348.477,183.0,56.54905464480875,1.0268296239217427,0.0,9832619.0
,134.0,240.0,3.582089552238806,12329.81199999999,51.37421666666663,2.9402985074626864,"{0: 0, 1: 10, 2: 2, 3: 108, 4: 14}","{0: 0.0, 1: 0.07462686567164178, 2: 0.014925373134328358, 3: 0.8059701492537313, 4: 0.1044776119402985}",124.0,8864.562999999998,171.0,51.83954970760233,1.0310344721684395,0.0,9832624.0
,131.0,232.0,3.5419847328244276,12284.491999999987,52.95039655172408,2.8702290076335877,"{0: 0, 1: 12, 2: 2, 3: 108, 4: 9}","{0: 0.0, 1: 0.0916030534351145, 2: 0.015267175572519083, 3: 0.8244274809160306, 4: 0.06870229007633588}",119.0,9067.757999999996,167.0,54.29795209580836,1.0301682059637778,0.0,9832629.0
,129.0,233.0,3.612403100775194,13625.329999999987,58.477811158798225,2.868217054263566,"{0: 0, 1: 15, 2: 3, 3: 95, 4: 16}","{0: 0.0, 1: 0.11627906976744186, 2: 0.023255813953488372, 3: 0.7364341085271318, 4: 0.12403100775193798}",114.0,9783.224999999999,165.0,59.29227272727272,1.0344584501864178,0.0,9832634.0
,128.0,232.0,3.625,13332.146999999984,57.4661508620689,2.8515625,"{0: 0, 1: 15, 2: 3, 3: 96, 4: 14}","{0: 0.0, 1: 0.1171875, 2: 0.0234375, 3: 0.75, 4: 0.109375}",113.0,9542.994,163.0,58.545975460122705,1.0320965906349509,0.0,9832635.0
,121.0,218.0,3.603305785123967,12469.618999999988,57.200087155963246,2.925619834710744,"{0: 0, 1: 10, 2: 3, 3: 94, 4: 14}","{0: 0.0, 1: 0.08264462809917356, 2: 0.024793388429752067, 3: 0.7768595041322314, 4: 0.11570247933884298}",111.0,9339.516000000003,159.0,58.73909433962266,1.0388423198118593,0.0,9832637.0
,116.0,210.0,3.6206896551724137,12123.04999999999,57.728809523809474,2.8793103448275863,"{0: 0, 1: 11, 2: 3, 3: 92, 4: 9, 5: 1}","{0: 0.0, 1: 0.09482758620689655, 2: 0.02586206896551724, 3: 0.7931034482758621, 4: 0.07758620689655173, 5: 0.008620689655172414}",105.0,9184.442999999997,152.0,60.42396710526314,1.040637464354958,0.0,9832639.0
,113.0,207.0,3.663716814159292,12302.610999999988,59.432903381642454,2.911504424778761,"{0: 0, 1: 11, 2: 3, 3: 85, 4: 13, 5: 1}","{0: 0.0, 1: 0.09734513274336283, 2: 0.02654867256637168, 3: 0.7522123893805309, 4: 0.11504424778761062, 5: 0.008849557522123894}",102.0,8933.298000000003,148.0,60.36012162162164,1.0364969288561652,0.0,9832643.0
,76.0,135.0,3.5526315789473686,7885.265,58.409370370370375,3.1052631578947367,"{0: 0, 1: 2, 2: 3, 3: 57, 4: 13, 5: 1}","{0: 0.0, 1: 0.02631578947368421, 2: 0.039473684210526314, 3: 0.75, 4: 0.17105263157894737, 5: 0.013157894736842105}",74.0,6146.826999999999,104.0,59.10410576923076,1.0658576167110154,0.0,9832645.0
,98.0,175.0,3.5714285714285716,11317.097,64.66912571428571,3.0510204081632653,"{0: 0, 1: 6, 2: 4, 3: 68, 4: 19, 5: 1}","{0: 0.0, 1: 0.061224489795918366, 2: 0.04081632653061224, 3: 0.6938775510204082, 4: 0.19387755102040816, 5: 0.01020408163265306}",92.0,8487.237000000001,133.0,63.8138120300752,1.1045046462077102,0.0,9832649.0
,98.0,172.0,3.510204081632653,10865.302,63.170360465116275,3.0408163265306123,"{0: 0, 1: 6, 2: 4, 3: 69, 4: 18, 5: 1}","{0: 0.0, 1: 0.061224489795918366, 2: 0.04081632653061224, 3: 0.7040816326530612, 4: 0.1836734693877551, 5: 0.01020408163265306}",92.0,8277.165,132.0,62.70579545454546,1.0962156058636816,0.0,9832655.0
,53.0,99.0,3.7358490566037736,6738.117999999999,68.06179797979796,3.30188679245283,"{0: 0, 1: 3, 2: 0, 3: 34, 4: 11, 5: 4, 6: 1}","{0: 0.0, 1: 0.05660377358490566, 2: 0.0, 3: 0.6415094339622641, 4: 0.20754716981132076, 5: 0.07547169811320754, 6: 0.018867924528301886}",50.0,5217.017,79.0,66.03818987341772,1.0698183701310717,0.012658227848101266,9883491.0
,55.0,100.0,3.6363636363636362,6871.889999999999,68.71889999999999,3.0727272727272728,"{0: 0, 1: 8, 2: 0, 3: 33, 4: 9, 5: 4, 6: 1}","{0: 0.0, 1: 0.14545454545454545, 2: 0.0, 3: 0.6, 4: 0.16363636363636364, 5: 0.07272727272727272, 6: 0.01818181818181818}",47.0,5099.687000000001,74.0,68.9146891891892,1.0719471791588342,0.013513513513513514,9883492.0
,55.0,108.0,3.9272727272727272,8521.987000000003,78.90728703703707,2.8,"{0: 0, 1: 11, 2: 0, 3: 35, 4: 7, 5: 2}","{0: 0.0, 1: 0.2, 2: 0.0, 3: 0.6363636363636364, 4: 0.12727272727272726, 5: 0.03636363636363636}",44.0,5328.594,65.0,81.97836923076923,1.0290402323091474,0.0,9883496.0
,68.0,131.0,3.8529411764705883,8383.683,63.997580152671766,2.6470588235294117,"{0: 0, 1: 16, 2: 0, 3: 44, 4: 8}","{0: 0.0, 1: 0.23529411764705882, 2: 0.0, 3: 0.6470588235294118, 4: 0.11764705882352941}",52.0,5408.140999999999,81.0,66.76717283950616,1.0286172722944205,0.0,9883498.0
,45.0,74.0,3.2888888888888888,5471.325999999999,73.93683783783783,3.2222222222222223,"{0: 0, 1: 0, 2: 3, 3: 30, 4: 11, 5: 1}","{0: 0.0, 1: 0.0, 2: 0.06666666666666667, 3: 0.6666666666666666, 4: 0.24444444444444444, 5: 0.022222222222222223}",45.0,4994.228999999999,64.0,78.03482812499999,1.0287508728392747,0.0,9899501.0
,54.0,110.0,4.074074074074074,10157.157,92.3377909090909,2.888888888888889,"{0: 0, 1: 5, 2: 0, 3: 45, 4: 4}","{0: 0.0, 1: 0.09259259259259259, 2: 0.0, 3: 0.8333333333333334, 4: 0.07407407407407407}",49.0,5743.499999999998,68.0,84.46323529411762,1.0619262267851381,0.0,9899517.0
,55.0,113.0,4.109090909090909,10858.323,96.09135398230089,2.890909090909091,"{0: 0, 1: 5, 2: 0, 3: 46, 4: 4}","{0: 0.0, 1: 0.09090909090909091, 2: 0.0, 3: 0.8363636363636363, 4: 0.07272727272727272}",50.0,6131.583999999998,70.0,87.59405714285711,1.0633365556317351,0.0,9899519.0
,77.0,149.0,3.8701298701298703,11279.901000000005,75.70403355704701,2.9220779220779223,"{0: 0, 1: 4, 2: 0, 3: 71, 4: 2}","{0: 0.0, 1: 0.05194805194805195, 2: 0.0, 3: 0.922077922077922, 4: 0.025974025974025976}",73.0,6644.377000000002,92.0,72.2214891304348,1.0318374653963993,0.0,9899524.0
,68.0,140.0,4.117647058823529,10695.814000000002,76.39867142857145,2.8823529411764706,"{0: 0, 1: 5, 2: 0, 3: 61, 4: 2}","{0: 0.0, 1: 0.07352941176470588, 2: 0.0, 3: 0.8970588235294118, 4: 0.029411764705882353}",63.0,5879.871000000001,83.0,70.84181927710844,1.026857358946645,0.0,9899525.0
,46.0,101.0,4.391304347826087,9154.561000000009,90.63921782178227,2.782608695652174,"{0: 0, 1: 7, 2: 0, 3: 35, 4: 4}","{0: 0.0, 1: 0.15217391304347827, 2: 0.0, 3: 0.7608695652173914, 4: 0.08695652173913043}",39.0,4737.413000000002,54.0,87.7298703703704,1.014091314174251,0.0,9899527.0
,47.0,109.0,4.638297872340425,9275.732999999998,85.09846788990824,3.021276595744681,"{0: 0, 1: 4, 2: 0, 3: 34, 4: 9}","{0: 0.0, 1: 0.0851063829787234, 2: 0.0, 3: 0.723404255319149, 4: 0.19148936170212766}",43.0,4905.255,58.0,84.57336206896552,1.10103750297675,0.0,9899529.0
,53.0,81.0,3.056603773584906,5336.101000000001,65.87779012345679,2.9245283018867925,"{0: 0, 1: 4, 2: 0, 3: 45, 4: 4}","{0: 0.0, 1: 0.07547169811320754, 2: 0.0, 3: 0.8490566037735849, 4: 0.07547169811320754}",49.0,4336.638,67.0,64.72594029850747,1.0133168659992848,0.0,9920433.0
,47.0,74.0,3.148936170212766,5383.239,72.74647297297297,2.9574468085106385,"{0: 0, 1: 3, 2: 0, 3: 40, 4: 4}","{0: 0.0, 1: 0.06382978723404255, 2: 0.0, 3: 0.851063829787234, 4: 0.0851063829787234}",44.0,4382.112999999999,61.0,71.83791803278687,1.0187154338099682,0.0,9920435.0
,47.0,76.0,3.234042553191489,5446.117,71.65943421052631,2.9574468085106385,"{0: 0, 1: 3, 2: 0, 3: 40, 4: 4}","{0: 0.0, 1: 0.06382978723404255, 2: 0.0, 3: 0.851063829787234, 4: 0.0851063829787234}",44.0,4309.44,61.0,70.64655737704918,1.0121056522853484,0.0,9920438.0
