osmnx_node_id,EMB000,EMB001,EMB000pooled,EMB001pooled,closeness_networkwide,betweenness_networkwide,closeness_egograph,betweenness_egograph,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg
1630298776,0.9303813,-0.9945405,0.51631176,-0.460313,0.0150381284545958,0.001396865003542,0.1780378869551825,0.2054263565891473,44.0,87.0,3.954545454545455,6154.300999999997,70.73909195402295,2.9545454545454546,39.0,4073.5,51.0,79.87254901960785,1.0677838079558593
1630298992,0.616536,-0.84253836,0.448926,-0.2404409,0.0146241226037489,0.0,0.18282131661442,0.0,56.0,123.0,4.392857142857143,9776.844999999996,79.48654471544712,2.696428571428572,44.0,5500.967,65.0,84.63026153846154,1.0402882179048476
1630299003,0.61064065,-0.8313379,0.42530444,-0.12873864,0.0144842118102319,0.0,0.1768664563617245,0.0,61.0,130.0,4.262295081967213,9390.080999999998,72.23139230769229,2.5901639344262297,46.0,5061.685999999999,68.0,74.4365588235294,1.042216626352319
1630299026,0.888407,-0.99248856,0.37443012,-0.46825883,0.0157197653793884,0.0038402594907645,0.2008547008547008,0.1942645698427382,48.0,96.0,4.0,8025.574000000002,83.59972916666669,2.875,39.0,5122.871000000001,58.0,88.32536206896553,1.022752310548183
1630299028,0.9963871,-0.7651722,0.3635501,-0.4786125,0.015481043635449,0.0046083906601097,0.1703637976929902,0.1088435374149659,50.0,98.0,3.92,8113.457000000002,82.79037755102043,2.88,41.0,5210.754000000001,60.0,86.84590000000001,1.0223599782483526
1630299051,-0.84228903,-0.05605278,0.60707015,-0.57453847,0.0156122583575768,0.0,0.1719836400817996,0.0,31.0,64.0,4.129032258064516,4561.366,71.27134375,3.161290322580645,28.0,2930.4870000000005,42.0,69.77350000000001,1.023096351818653
1630299059,-0.74410784,-0.9202428,0.53292155,-0.43067688,0.0158620044586901,0.0002982158693907,0.1670785961443401,0.0668831168831168,57.0,114.0,4.0,8897.270999999999,78.04623684210526,2.8771929824561404,47.0,5563.021999999999,70.0,79.47174285714284,1.0256238097969976
1630299065,-0.81939876,-0.46379134,0.5287238,-0.49068302,0.0156122583575768,0.0,0.1486068111455108,0.0,52.0,104.0,4.0,8163.367,78.49391346153847,2.9423076923076925,44.0,5196.069999999999,65.0,79.93953846153845,1.027022652622507
1632846172,-0.95229334,0.7193227,0.18338086,-0.44508633,0.000300932891965,0.0003726622879281,0.0454545454545454,0.045846394984326,89.0,148.0,3.3258426966292136,7741.693000000003,52.30873648648651,2.9887640449438204,79.0,6375.778000000001,121.0,52.69238016528927,1.0134588635869175
1632846173,0.22299126,-0.9551099,0.103080526,-0.35166776,0.0175009953284434,0.0120206231567685,0.0816893816893816,0.0342985558502799,118.0,203.0,3.440677966101695,11144.753999999995,54.9002660098522,2.915254237288136,103.0,8510.726,159.0,53.52657861635221,1.01246308174728
1632846189,0.6137339,-0.9930067,0.15500405,-0.3334258,0.0178555518170909,0.0318734272057503,0.1142857142857143,0.1276124885215794,122.0,214.0,3.5081967213114758,12171.603999999996,56.87665420560746,2.9262295081967213,107.0,9270.655,166.0,55.84731927710844,1.0126704148598793
